BANKS
0,RBI
1,FederalReserve
2,ECB
3,SBI
4,HSBC
5,JPMorgan
6,DeutscheBank
EDGES
0,3,INR,USD,0.01198,0.3,500
0,4,INR,GBP,0.00952,0.4,300
1,5,USD,EUR,0.92,0.2,800
1,4,USD,GBP,0.785,0.3,600
2,6,EUR,CHF,0.965,0.2,400
2,4,EUR,USD,1.087,0.2,500
3,4,USD,EUR,0.925,0.3,200
4,5,GBP,USD,1.27,0.2,700
4,6,EUR,CHF,0.968,0.2,400
4,2,USD,EUR,0.918,0.2,500
5,1,EUR,USD,1.085,0.2,800
5,6,USD,CHF,0.89,0.3,300
5,4,USD,GBP,0.787,0.2,400
5,2,USD,EUR,0.93,0.1,200
6,2,CHF,EUR,1.035,0.2,350
6,4,CHF,USD,1.12,0.3,250
